OriginalTweet,Sentiment
"THANK YOU To all the grocery store employees for working so hard making sure everyone is getting what they need.
Please be kind to them its not their fault that we are short on supplies.
#Corona #covid_19 @ https://t.co/QC0uNeVQej",Extremely Positive
"Maybe the coming recession might play in three phases:
(1) Damage on main street by COVID-19 [ongoing]
(2) CB rescue, temp. recovery on credit mkt, but no recovery on consumer econ
(3) Unknown second shock later finally brings wall street down altogether
$SPX $RUT $NDX",Extremely Negative
You know it's the end of the world when @BootsUK Surgical Spirit is out of stock online and (won't be receiving any further stock) - How am I supposed to disinfect my hands now ? #coronavirus #coronapocolypse #panic #shopping https://t.co/iQIpUz50Sc,Extremely Positive
"Amid 'social distancing' during COVID-19 crisis, Starbucks moves to 'to-go' only https://t.co/HbJDKnjPrD",Extremely Negative
"Abilene bar feels economic impact of COVID-19
https://t.co/YH5Oyx2VT4",Neutral
New @CSPI consumers guide examines how 20 largest restaurant chains by sales are handling paid sick leave during COVID-19 pandemic. Results not good: 60% didnt disclose any paid leave policy and only 3 chains offer sick leave at all locations nationwide https://t.co/YPJClnpMi2,Extremely Negative
@AirCanada very poor customer service if you let the algorithms run the prices up in states of emergency and do not refund the cost. Also very poor staffing @Airport_FRA #COVID2019,Extremely Negative
"I love this ?? all grocery stores should have a set hour (preferably in the morning) for the elderly population or those with compromised immune systems to use the store. Thats good, clear thinking.
.
@brianschatz @maziehirono @NYGovCuomo @GovInslee 
#COVID?19 #coronavirus https://t.co/TMQH0CSeIN",Extremely Positive
Currently self isolating as Im symptomatic. Thinking how to support elderly neighbour/ friend. Ive done her online shopping for her (agreed it over the phone!) and calling her daily! We might even attempt a skype video call... #unitedagainstdementia #coronavirus  @alzheimerssoc,Extremely Positive
"If youre the people walking into retail stores... youre the problem. Youre responsible for making this shit spread. Feel guilty, stop shopping. Online shopping is available from home. #coronavirus #retail #Covid19Walkout",Extremely Negative
"NYS is aware that there is an uptick of #Coronavirus scams on social media, emails, texts and websites. 

If you're aware of a scam involving a financial product or service, visit the @NYDFS website or call their Consumer Hotline at: 1(800) 342-3736.

https://t.co/MqPbpLOZyY",Extremely Negative
FYI it s called the not the Chinese Virus Notice nasty mentions supporting industries to help his stock market trump s still trying to CUT Medicare amp Social Security benefits food stamps AND remove pre existing conditions coverage from ACA,Extremely Positive
"? HAPPY M O N D A Y Friends ?
-
I know everyone is uneasy about all thats going on with the #coronavirus but lets not forget about our small business who need our support! Whether youre shopping online or ordering https://t.co/AibxMekdro",Extremely Positive
Spark s Manila call centre is closing to help prevent the spread of Covid 19 Calls will be routed to NZ based help deskers instead Spark is asking for patience with calls and that people use the MySpark app or visit a retail store,Extremely Positive
I feel like I won the #lottery just now. How much is this worth on the #stockmarket #toiletpaper #Arizona #coronavirus #StopPanicBuying #FoxNews #fox10phoenix https://t.co/PLJCt49ik7,Extremely Positive
Ive been online shopping for the past 2 days now #coronavirus,Neutral
"Plus side to covid-19 is saving money.

Online shopping packages from China are HELLA delayed. I don't own a car and don't wanna use public transport.

Hell. I don't wanna be around people who have apparently just worked out how to wash their hands and wipe their ass.",Extremely Negative
First shops to make this effort could really win the PR game... and make a real difference. https://t.co/6TqO57Lt0q,Extremely Positive
"How come #TrumpIsAnIdiot or #trumpneedstoshutup is not trending?? For real!! People are freaked, stores cant keep food on their shelf, and the stock market is out of control. @realDonaldTrump please for the sake of the county shut up. #coronavirus",Neutral
Cleanshelf supermarket Sanitizers 19,Neutral
Thank you @NorthgateGlzMrk for taking care of our abuelos/as! https://t.co/nWmxYoOMHf,Extremely Positive
My 79 (nearly 80) year old nana hasnt stock piled food or toilet rolls. But...she has stocked her cupboard up with two full tubs of horlicks #Priorities #CoronaVirus ?? https://t.co/MRK7r62Fv5,Neutral
"If a person doesnt have the capability to do online shopping, I would encourage for a relative / friend / acquaintance to do the shopping for them (if out of city / state / country) and have them as alternate pick up person. #coronavirus #CoronavirusOutbreak #Covid_19",Extremely Positive
Televangelists are making a killing from the CoVID 19 panic. Theyre selling their survival meals for $750 for 60 days worth of food. ?? Im almost sure it was at least $200 cheaper two months ago.,Extremely Negative
"COVID-19 RETAIL EDITION 
fitting rooms closed the store is pact. People are upset that they cant try on clothes the worst thing on their mind rn is not being able to fit in that pair of jeans. As restaurants and bars are closing Im reminded of the ignorance of corporate America",Extremely Negative
"Here is a photo from an Edinburgh supermarket last night. I happen to work here. 

Im one of the workers the UK gov classed as low skilled just a couple of weeks ago, before Covid-19 hit us bad.
#Thread https://t.co/7M61CZtYO9",Extremely Negative
"So, I've seen this BS pop up all over Facebook in various community groups.  You cannot call the toll free number on a can of infant formula, tell them you cannot find formula at a retail store due to COVID-19, and they'll send you a full case of free formula.  IT IS A HOAX!!! https://t.co/2CyxHEaCEZ",Extremely Positive
"I haven't panicked bought &amp; only have enough provisions for me &amp; my family for a few days. 

I also don't have a car thanks to the idiot who smashed into mine last week. 

No online shopping slots for 3 weeks. 

It won't be Covid-19 that kills my family, it will be lack of food!",Extremely Negative
"Mass hysteria isnt going to successfully deal with COVID-19.
For the majority contracting COVID-19 will see mild flu symptoms so no need to panic buy 6 months worth of toilet paper and canned food.",Extremely Negative
https://t.co/r9skYbYiHt CALLING SMALL BUSINESSES: Chicago's Department of Business Affairs &amp; Consumer Protection (BACP) is soliciting your feedback to develop resources and measures to support small businesses that have been impacted by COVID-19. Please fill out this survey ASAP.,Extremely Positive
And if you work at supermarket store you live paycheck to paycheck ????? #COVID2019,Neutral
What 2K Consumers Told PYMNTS About How COVID-19 Changed Their Daily Lives - https://t.co/hG5vYrH02L,Neutral
"What's the plan for supplying food @BorisJohnson? The panic buying is crazy and the supermarkets have no slots for delivery. Rationing seems sensible. You can't ""suggest"" (how feeble) we self-isolate for months without telling us how we'll eat. #coronavirus",Extremely Negative
"Taken by Henk Zwoferink on Saturday in Wörgl, our black beauty hauled a train bringing the last tourists home. Our colleagues are #workinghard to keep supply chains running while respecting the measures to ensure everyone's #safety. A pleasure to work with such #DedicatedPeople! https://t.co/EoXT7Q43ZB",Extremely Positive
Americans Stock Up On Food as COVID-19 Concerns Rise. the only thing i bought on this list is a few extra boxes of pasta...https://t.co/C0z5g5aTmj,Neutral
@Nordstrom Rack stores making efforts in Washington St market to drive store sales this weekend $JWN #retail #retailapocalypse2020 #coronavirus #retailnews https://t.co/9dfkB2NuCr,Neutral
How to Avoid Coronavirus Phishing Scams - Consumer Reports https://t.co/D166pdSHLM #covid-19 #Coronavirus #coronavirus #Coronavirusupdate #Coronapocolypse,Extremely Negative
If you have any updates from grocery stores or any shopping experiences from this weekend or today....let us know! Which store still has what in stock? What are they out of?? #COVID19 #Coronavirus #LOTL,Neutral
"Stock market corrections
Currency rate corrections
Oil prices corrections
Interest rate changes
Currency rate fluctuations

#coronavirus #covid2019 #coronavirusindia is a LIFESTYLE CORRECTION

Wisdom is in collectiveness
Respect nature for it to reciprocate
No one is above other",Extremely Positive
@olson_jessie @NashTerrance @MccrorieJim @ArmyVet1775 @rogerscarmen @AliM20698746 @jimbo_always @bill_wrights @ddcampassr @JewelsJones1 @real_pat_henry @WeSeeYouWeKnow @____54_____ @RandallKraft @DatoFreddy @LennyInnecken6 @SanMateogirl11 @brandyls76 @Spa,Neutral
"Casper Provides Business Update On COVID-19 - https://t.co/ZS6NpEF9Vz YORK--(BUSINESS WIRE)--Casper Sleep Inc. (Casper or the Company) (NYSE: CSPR) today provided an update on its North America retail store operations in response to the continued spread of COVID-19.

In l... https://t.co/0oAHf51FtI",Neutral
Left supermarket Right supermarket Now take a guess which country the press calls hysterical dysfunctional 19,Neutral
"Joining hands with the UAE's efforts to contain the spread of the coronavirus (COVID-19) and considering the well-being of our mall visitors and community, gym, play areas &amp; amusement centres will stay closed.

LuLu Hypermarket and other stores are operating in routine. https://t.co/SVOTBu6ZNu",Extremely Positive
"@SarahHollenbeck @MyClearwater @abcactionnews But I kept hearing it was all the #boomers gonna travel on ""cheap flights"" and infect y'all. Meanwhile majority of Boomers are hunkered down at home afraid to go to grocery store! 
#COVID2019 
#SocialDista",Neutral
"&gt;@MassGovernor announces $10M loan fund administered by @MassGCC to provide financial relief up to $75k to MA-based businesses, including nonprofits, with &lt;50 full- &amp; part-time employees impacted by #COVID19. #MAbiz

Release: https://t.co/nxrDH25i8r
Apply: https://t.co/w2VJdOwRcg https://t.co/sP6sTraxLQ",Extremely Positive
"All the pasta, pasta sauce and pizza were sold out at the grocery store. Did everyone in Dallas become Italian grandmas? #Dallas #coronapocolypse #COVID2019",Neutral
"DO NOT PANIC. DO NOT FEAR. 
Fear Is the Mind Killer
The pres. is WORKING WITH the private sector to ensure EVERYONE has access to food &amp; supplies. Turn off the CNN.
Resist herd mentality.
#CoronavirusPandemic #coronavirus #coronapocolypse 
(hea!th) 
https://t.co/1Hw3xzvkS5",Extremely Positive
"Hearing from multiple sources that a mandatory quarantine is coming this week for US citizens. 

Last chance to stock up on food &amp; supplies. 

Take this as a warning before its too late! 

#CoronaVirusUpdates #CoronaVirus",Neutral
"With the increasingly global spread of COVID-19, the masses are beginning to panic and grocery stores are becoming increasingly chaotic. The animalistic nature of survival has kicked in and individuals are starting to hoard supplies.

#cct320

https://t.co/yQvCkAz4r4",Extremely Negative
How about free delivery and no service fee for seniors ordering online?&gt;&gt;&gt;&gt;&gt;&gt; La Habra supermarket offers special hours for shoppers 65 and older amid COVID-19 crisis https://t.co/4wQE7vzr3M,Extremely Positive
"Next time you go to the grocery store, purchase food from the colors of the rainbow. Boost your #immunesystem 
? FOOD IS MEDICINE ? #immunesupport fight the #coronavirus #covid_19 https://t.co/1oXK9TGZFm",Neutral
Staying in due to the coronavirus?  Here's what to stock in your fridge and pantry Staying in due to the coronavirus?  Here's what to stock in your fridge and pantry #Food #coronavirus #foodshortage #foodsecurity #Stockpile     https://t.co/dPKEeIeQJq https://t.co/lGKg1wYzKg,Neutral
"@MarkHoplamazian Your letter 3/13/20 was just sad.  Your Hotel's response to covid-19 has been the worst of any vendor associated with @marchmadness No fault of the consumer, yet a room costing $2,230.58 for 4 nights, you're willing to offer 10,000 hyatt ",Extremely Negative
There will be casualties Retail store closures in the US could explode because of the from,Neutral
"Meanwhile In #Canada, Couple Cleans Out Entire #Meat Section Of Store! https://t.co/T897aWGGvk via @YouTube #hoarding   #coronavirus #nomestleft
#nofood
#canada
#panic",Neutral
"@HeriOnlineS is with you in the fight against COVID 19 infection,

We believe in social distancing  to avoid contact.

Heri ensures you don't have to worry about your shopping do it from your safest space and we shall deliver 

https://t.co/Dm",Extremely Negative
The whole store was ransacked. Thank you to all the retail workers. Can't imagine the craziness you have to deal with right now. #coronavirus #panicshopping #RetailWorkers https://t.co/ovnQp051VW,Neutral
@NEWS1130 One question I have. What happens now since most of the manufactures have closed down their plants during Covid 19 shutdowns and many aren't making any food in plants during the shut down. How will grocery stores get new stock ??,Neutral
Nothing beats classic food on wheels. You can now get the Big Mac Meal from McDonalds for only R30 when you order via UberEats App ? Promo Code: BIGMACZA. T&amp;Cs Apply.,Neutral
@ASDA @Tesco @Morrisons @sainsburys dont you think its about time you reduce your minimum online shopping basket from £40 as you dont have the product in stock that people need. I think you forgot about us single disabled people. Put your customers,Neutral
"@dcislamabad D.WATSON F10! They are selling masks on high prices and not providing any bill/receipt.
#coronavirusinpakistan #CoronavirusOutbreak #COVID2019",Neutral
No toilet paper at my local grocery store for almost a week now?!! What is the real crisis in south Florida ?  #toiletpaper? Or the #coronavirus? https://t.co/PPlOCvB8To,Extremely Negative
"What's a good way to support grocery store, medical, and hospital staff during this time? I would normally think of something along the lines of ordering everyone pizza, but that doesn't seem like a great idea about now... #COVID2019 #COVID19 #COVID?19",Extremely Positive
"Well now im actually starting to worry! Online food shop... Nothing is in stock. 

Bread ?
Pasta ?
Fruit ?
Veg ?
Milk ?

What the hell we going to eat!? So far I have some cheese and coffee! #coronavirus #coronapocolypse",Extremely Negative
"Good read for those worried about or participating in grocery store runs during #coronavirus. In an era of lean, it's difficult to accommodate huge discrete surges in demand at stores, but the supply chain is still strong. via @nytimes :  https://t.co/6Tt8TQL1SD",Extremely Positive
"Learn how US consumers and industries including food and drink, beauty, retail, and health and wellness are reacting to the #COVID19 pandemic: https://t.co/0CScQX1NZ5 #marketresearch #consumerinsights",Extremely Positive
"#French President Emmanuel Macron has imposed a two-week lockdown, declaring a war on #coronavirus; cancelled municipal elections,,citizens have been ordered to stay home and will only be allowed out for essential duties such as trips to the grocery store or pharmacy!  ?",Extremely Negative
"Going to the supermarket means being vulnerable to crowds of over 50 to 200 people.

Trendies going to Costco and Sam's Club places is going to multiply that by a lot more.  

This is a COVID-19 megachurch zombie shopping panic. 

They're allowed to shop, don't care if you die.",Extremely Negative
"Mountain America members, if you've been financially impacted by COVID-19, @mountainamericacu may have loan relief options to help you with your unique situation. Visit https://t.co/zXGHDe3rTx to learn more. https://t.co/vbBEdG864U",Extremely Positive
"MPE prepared to continue providing safe and reliable electric service, adopts COVID-19 consumer and employee safety measures. READ MORE: https://t.co/eXnYpE4gEx https://t.co/GnjqUgg05t",Extremely Positive
Binge shopping online #QuarantineLife #coronavirus,Neutral
For a long time we could only dream of what Reid s Distillery would look like It s hard to overstate the impact of COVID 19 on us and all the other small businesses The best ways to support is to enjoy Reid s Gin at home Our retail store is now open everyday 11AM 11PM,Extremely Positive
5 ways coronavirus is changing millennials' money habits more than any other generation https://t.co/7H1zK1rrCX noi paghiamo con carta credito o con #satispay #coronavirus  (molti acquisti online),Neutral
"Im getting personal... Im not one to allow this #coronavirus hysteria panic or change my home life. So I went to the grocery store to do my normal shopping and Im beyond disappointed in humanity.

Please stop and think.",Extremely Negative
"""The panic shopping for #coronavirus planning doesnt end with food, water and toilet paper. Some consumers are also panic shopping for life insurance.""

#StayInformed #StayConnected #NAILBA2020

https://t.co/maT278EOxx",Extremely Negative
Social distancing to prevent the spread of coronavirus could have devastating effect on people with depression. https://t.co/rlJ1MaaxgI,Extremely Negative
"Due to fear of #COVID2019 people have started hoarding items of daily use. This will impact the regular level of supply in markets , if these commodities will disappear from markets it will create shortage and prices will go up. Then people will start cursing government.",Extremely Negative
"Apparently everyone else feels the same way I do about Daves Killer Bread... ?

#bread #coronavirus #covid-19 #stockup #davesbread https://t.co/Fz1EorNgHS https://t.co/vWQgAOv2vw",Extremely Negative
"To the shops hiking up prices shame on you! I don't mean people cashing in on eBay etc I mean actual local shops increasing prices of meat, rice etc..I thought we were all trying to get through this together?! Ridiculous ? #coronavirus",Extremely Negative
"https://t.co/UpjxfOgQs8

Gaisss! Please read this,and please limit yourself to go outside and please,please..always wash your hands,always use the hand sanitizer. 

And please get ready to stock up the food.",Extremely Positive
"COVID-19 is impacting supply chain, trade, the workforce and so much more. Check out our @PwC guide on what business leaders should know. Find it here: https://t.co/8LJ4aXcZcg https://t.co/NDKIeakYp2",Neutral
"We'll be tracking the effect of #coronavirus on the #retail industry every step of the way. Read our first #COVID19 blog and stay tuned for updates every Monday, Wednesday, and Friday! https://t.co/QxVKFGS4th #DigitalMarketing",Neutral
"#stopthespread ""Research has shown that the faster authorities moved to implement the kinds of #socialdistancing measures designed to slow the transmission of disease, the more lives were saved."" Great read via @NPR ?? https://t.co/0QcNWNSwgm",Extremely Positive
"It amazes me...I go to the supermarket and everything is gone, people are panic buying, yet not one single person was wearing a facemask. Buying 200 rolls of toilet paper won't prevent you from catching #COVID2019. Take proper precautions and stay safe. https://t.co/lNoF0xfsx4",Extremely Positive
Most of us will get covid-19 in a supermarket. #letspanic,Neutral
"This is worth reading! Hopefully if nothing else the public might wish to consider shopping more locally in the future. That is of course if shops like us survive! 
https://t.co/Cn9o6qkZFo",Extremely Positive
"San Francsisco mayor London Breed is about to announce a lockdown that will last until April 7
People will not be allowed to leave home after midnight on Tuesday for anything but doctors visits or grocery store shops 
https://t.co/zQu0sH8JKB
#Q22 #CoronaVirus",Neutral
"Loving how quiet the Tube is atm. COVID-19 is terrible yes, but I now get a fantastic level of consumer utility for my £2.50 tube ticket.",Extremely Positive
"The Food Supplies and Consumer Welfare department of the Odisha government is taking effective steps to prevent black marketing and hoarding of protective masks and hand sanitizers in the State.
#Odisha #OdishaNews #OmmcomNews https://t.co/VBIqm3zp1Q",Extremely Positive
"When even Amazon is struggling to deliver food you know the stockpiling muppets are panic buying again.

#coronavirus #Yorkshire #UK https://t.co/Il6zWAyD6e",Extremely Negative
"In #Iran,prisoners were released in view of #coronavirus.In #Italy prisoners created a nuisance &amp; even burnt a prison cell after the news of a suspect of #COVID2019 in the prison.Whereas in #India,prisoners are making face masks &amp; selling them at extremely low prices.
#Bharat",Extremely Negative
"We've updated our COVID-19 info page, including links to the latest DHS and NDIA updates, plus what we currently know about supermarket rule changes.

https://t.co/ugWNwcHnFy",Neutral
"PYMNTS surveyed 2K consumers about how COVID-19 has already changed their daily lives. @karenmpd dives into the results: https://t.co/og7fp8IEIY 

#coronavirus #covid19 https://t.co/DPikTnl6Xj",Neutral
"Just been to the supermarket, absolute chaos. No toilet rolls, hardly any paracetamol, massive queues for all the tills.

If I snuff it as a result of COVID-19 I'm going to come back and haunt everyone who stockpiled.",Extremely Negative
"Really, really worried about how many little kids will go seriously hungry due to #coronavirus #COVID19 

The only meals some kids get are at school. They could be seriously hungry for weeks when they close

Especially also as stockpiling is denying food banks normal stock",Extremely Negative
Supermarket workers   homecare workers   postal workers   cleaning workers   Workers throughout services sectors now find themselves at the forefront of societies  efforts to contain the 19 pandemic We take a look at what measures are needed,Neutral
This is how #COVID19ireland is being monitored back home. Looks draconian but #igetit #coronavirus #StayTheFHome #SocialDistancing #COVID19 #SelfIsolation #StopTheSpread #StopPanicBuying https://t.co/7NhQ9d48vE,Neutral
Supermarket scene - Posting in foreigners in Finland -group. #covid-19 https://t.co/aYDgVUAcUe,Neutral
RON 95 price GO DOWN diesel price GO DOWN when public transports such as trains buses teksi amp e hailing service prices GO DOWN in Malaysia year 2020,Neutral
@Jeremy_Hunt your public intervention on Covid 19 is not helping. You may disagree with the government's strategy but please do not actively campaign against the government. People are frightened. You are adding to their fears. That causes panic actions l,Extremely Negative
